Series Name,"Series Code","Country Name","Country Code","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","United States","USA","77.4878048780488","77.4878048780488","77.6878048780488","77.9878048780488","78.0390243902439","78.390243902439","78.5414634146342","78.6414634146341","78.7414634146342","78.7414634146342","78.8414634146341","78.690243902439","78.5390243902439","78.5390243902439","78.6390243902439","78.7878048780488","76.9804878048781","76.3292682926829","77.4341463414634","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Germany","DEU","78.6804878048781","78.9317073170732","79.1317073170732","79.5341463414634","79.7365853658537","79.8365853658537","79.9878048780488","80.4365853658537","80.5390243902439","80.490243902439","81.090243902439","80.6414634146341","80.990243902439","80.9926829268293","80.8926829268293","81.2926829268293","81.0414634146342","80.790243902439","80.7056097560976","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","France","FRA","80.1634146341463","80.1634146341463","80.8121951219512","81.1121951219512","81.2146341463415","81.4146341463415","81.6634146341463","82.1146341463415","81.9682926829268","82.219512195122","82.719512195122","82.3219512195122","82.5731707317073","82.5756097560976","82.6756097560976","82.8268292682927","82.1756097560976","82.3243902439024","82.2292682926829","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Italy","ITA","80.7804878048781","80.7829268292683","81.2829268292683","81.4341463414634","81.4853658536585","81.6365853658537","82.0365853658537","82.1878048780488","82.2390243902439","82.690243902439","83.090243902439","82.5439024390244","83.2439024390244","82.9463414634147","83.3463414634146","83.4975609756098","82.1951219512195","82.6463414634146","82.9","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greece","GRC","79.0390243902439","79.2390243902439","79.4390243902439","79.4390243902439","79.9390243902439","80.1878048780488","80.3878048780488","80.7317073170732","80.6341463414634","81.2853658536585","81.3853658536585","81.0365853658537","81.3878048780488","81.2878048780488","81.7878048780488","81.6390243902439","81.2878048780488","80.0829268292683","80.6365853658537","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Spain","ESP","79.8707317073171","80.1707317073171","80.8219512195122","80.8731707317073","81.1756097560976","81.4756097560976","81.6268292682927","82.4756097560976","82.4268292682927","83.0780487804878","83.2292682926829","82.8317073170732","83.3292682926829","83.2829268292683","83.4317073170732","83.8317073170732","82.3317073170732","83.2292682926829","83.0829268292683","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mexico","MEX","74.372","74.376","74.331","74.238","74.152","74.119","74.19","74.365","74.574","74.739","74.797","74.682","74.412","74.138","74.015","74.202","70.133","70.213","74.832","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Panama","PAN","75.544","75.829","76.012","76.154","76.225","76.343","76.448","76.627","76.819","77.038","77.248","77.468","77.653","77.795","77.863","77.81","76.657","76.223","76.826","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Honduras","HND","69.796","70.104","70.261","70.376","70.441","70.911","71.088","71.439","71.734","71.963","72.259","72.487","72.588","72.692","72.814","72.881","71.462","70.123","70.728","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Peru","PER","72.668","72.986","73.172","73.223","73.377","73.466","73.711","74.133","74.544","74.967","75.333","75.621","75.789","75.879","76.009","76.156","73.665","72.377","73.385","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Chile","CHL","77.616","78.016","78.261","77.826","78.484","78.741","78.501","79.11","79.023","79.339","79.473","79.746","80.079","80.35","80.133","80.326","79.377","78.944","79.519","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","70.331","70.875","71.165","71.371","71.658","71.871","72.093","72.221","72.514","72.713","72.867","72.953","72.987","73.063","73.232","73.577","72.889","72.615","74.17","NA"
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
Data from database: Health Nutrition and Population Statistics,"","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 07/01/2024,"","","","","","","","","","","","","","","","","","","","","","",""
